Block Group,School Assignment
60750176042.0,Mission Bay
60750177001.0,Webster
60750178012.0,Webster
60750178031.0,Mission Bay
60750180001.0,Mission Bay
60750180003.0,Mission Bay
60750180004.0,Mission Bay
60750226001.0,Mission Bay
60750226002.0,Mission Bay
60750227021.0,Mission Bay
60750227022.0,Mission Bay
60750227041.0,Webster
60750227042.0,Webster
60750227043.0,Mission Bay
60750228021.0,Webster
60750607011.0,Mission Bay
60750607012.0,Mission Bay
60750607013.0,Mission Bay
60750607021.0,Mission Bay
60750607032.0,Mission Bay
60750607033.0,Mission Bay
60750614021.0,Webster
60750614022.0,Mission Bay
60750615011.0,Webster
60750615033.0,Mission Bay
60750615071.0,Mission Bay
60750615083.0,Mission Bay
